Province,Gender,Age,Income,Value
Newfoundland and Labrador,Both sexes,"All age groups (4,10)",Total persons with income (5),416080
Newfoundland and Labrador,Both sexes,"All age groups (4,10)","Persons with income under $5,000 (5)",26470
Newfoundland and Labrador,Both sexes,"All age groups (4,10)","Persons with income of $5,000 and over (5)",389610
Newfoundland and Labrador,Both sexes,"All age groups (4,10)","Persons with income of $10,000 and over (5)",360450
Newfoundland and Labrador,Both sexes,"All age groups (4,10)","Persons with income of $15,000 and over (5)",320280
Newfoundland and Labrador,Both sexes,"All age groups (4,10)","Persons with income of $20,000 and over (5)",269930
Newfoundland and Labrador,Both sexes,"All age groups (4,10)","Persons with income of $25,000 and over (5)",230940
Newfoundland and Labrador,Both sexes,"All age groups (4,10)","Persons with income of $35,000 and over (5)",172080
Newfoundland and Labrador,Both sexes,"All age groups (4,10)","Persons with income of $50,000 and over (5)",107950
Newfoundland and Labrador,Both sexes,"All age groups (4,10)","Persons with income of $75,000 and over (5)",55350
Newfoundland and Labrador,Both sexes,"All age groups (4,10)","Persons with income of $100,000 and over (5)",26560
Newfoundland and Labrador,Both sexes,"All age groups (4,10)","Persons with income of $150,000 and over (5)",7920
Newfoundland and Labrador,Both sexes,"All age groups (4,10)","Persons with income of $200,000 and over (5)",3370
Newfoundland and Labrador,Both sexes,"All age groups (4,10)","Persons with income of $250,000 and over (5)",1910
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)",Total persons with income (5),44460
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",9850
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",34620
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",26090
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",19300
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",13860
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",9810
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",5390
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",2410
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",830
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",260
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",20
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Newfoundland and Labrador,Both sexes,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Newfoundland and Labrador,Both sexes,25 to 34 years (4),Total persons with income (5),58320
Newfoundland and Labrador,Both sexes,25 to 34 years (4),"Persons with income under $5,000 (5)",3270
Newfoundland and Labrador,Both sexes,25 to 34 years (4),"Persons with income of $5,000 and over (5)",55050
Newfoundland and Labrador,Both sexes,25 to 34 years (4),"Persons with income of $10,000 and over (5)",51790
Newfoundland and Labrador,Both sexes,25 to 34 years (4),"Persons with income of $15,000 and over (5)",48220
Newfoundland and Labrador,Both sexes,25 to 34 years (4),"Persons with income of $20,000 and over (5)",43710
Newfoundland and Labrador,Both sexes,25 to 34 years (4),"Persons with income of $25,000 and over (5)",38430
Newfoundland and Labrador,Both sexes,25 to 34 years (4),"Persons with income of $35,000 and over (5)",28580
Newfoundland and Labrador,Both sexes,25 to 34 years (4),"Persons with income of $50,000 and over (5)",18000
Newfoundland and Labrador,Both sexes,25 to 34 years (4),"Persons with income of $75,000 and over (5)",8330
Newfoundland and Labrador,Both sexes,25 to 34 years (4),"Persons with income of $100,000 and over (5)",3560
Newfoundland and Labrador,Both sexes,25 to 34 years (4),"Persons with income of $150,000 and over (5)",700
Newfoundland and Labrador,Both sexes,25 to 34 years (4),"Persons with income of $200,000 and over (5)",200
Newfoundland and Labrador,Both sexes,25 to 34 years (4),"Persons with income of $250,000 and over (5)",90
Newfoundland and Labrador,Both sexes,35 to 44 years (4),Total persons with income (5),68630
Newfoundland and Labrador,Both sexes,35 to 44 years (4),"Persons with income under $5,000 (5)",3430
Newfoundland and Labrador,Both sexes,35 to 44 years (4),"Persons with income of $5,000 and over (5)",65200
Newfoundland and Labrador,Both sexes,35 to 44 years (4),"Persons with income of $10,000 and over (5)",62310
Newfoundland and Labrador,Both sexes,35 to 44 years (4),"Persons with income of $15,000 and over (5)",58740
Newfoundland and Labrador,Both sexes,35 to 44 years (4),"Persons with income of $20,000 and over (5)",54460
Newfoundland and Labrador,Both sexes,35 to 44 years (4),"Persons with income of $25,000 and over (5)",49520
Newfoundland and Labrador,Both sexes,35 to 44 years (4),"Persons with income of $35,000 and over (5)",39660
Newfoundland and Labrador,Both sexes,35 to 44 years (4),"Persons with income of $50,000 and over (5)",27120
Newfoundland and Labrador,Both sexes,35 to 44 years (4),"Persons with income of $75,000 and over (5)",14960
Newfoundland and Labrador,Both sexes,35 to 44 years (4),"Persons with income of $100,000 and over (5)",7050
Newfoundland and Labrador,Both sexes,35 to 44 years (4),"Persons with income of $150,000 and over (5)",2090
Newfoundland and Labrador,Both sexes,35 to 44 years (4),"Persons with income of $200,000 and over (5)",870
Newfoundland and Labrador,Both sexes,35 to 44 years (4),"Persons with income of $250,000 and over (5)",480
Newfoundland and Labrador,Both sexes,45 to 54 years (4),Total persons with income (5),80210
Newfoundland and Labrador,Both sexes,45 to 54 years (4),"Persons with income under $5,000 (5)",3670
Newfoundland and Labrador,Both sexes,45 to 54 years (4),"Persons with income of $5,000 and over (5)",76540
Newfoundland and Labrador,Both sexes,45 to 54 years (4),"Persons with income of $10,000 and over (5)",72720
Newfoundland and Labrador,Both sexes,45 to 54 years (4),"Persons with income of $15,000 and over (5)",67310
Newfoundland and Labrador,Both sexes,45 to 54 years (4),"Persons with income of $20,000 and over (5)",62100
Newfoundland and Labrador,Both sexes,45 to 54 years (4),"Persons with income of $25,000 and over (5)",56090
Newfoundland and Labrador,Both sexes,45 to 54 years (4),"Persons with income of $35,000 and over (5)",44640
Newfoundland and Labrador,Both sexes,45 to 54 years (4),"Persons with income of $50,000 and over (5)",30230
Newfoundland and Labrador,Both sexes,45 to 54 years (4),"Persons with income of $75,000 and over (5)",17170
Newfoundland and Labrador,Both sexes,45 to 54 years (4),"Persons with income of $100,000 and over (5)",8090
Newfoundland and Labrador,Both sexes,45 to 54 years (4),"Persons with income of $150,000 and over (5)",2450
Newfoundland and Labrador,Both sexes,45 to 54 years (4),"Persons with income of $200,000 and over (5)",1020
Newfoundland and Labrador,Both sexes,45 to 54 years (4),"Persons with income of $250,000 and over (5)",570
Newfoundland and Labrador,Both sexes,55 to 64 years (4),Total persons with income (5),78390
Newfoundland and Labrador,Both sexes,55 to 64 years (4),"Persons with income under $5,000 (5)",5830
Newfoundland and Labrador,Both sexes,55 to 64 years (4),"Persons with income of $5,000 and over (5)",72560
Newfoundland and Labrador,Both sexes,55 to 64 years (4),"Persons with income of $10,000 and over (5)",66390
Newfoundland and Labrador,Both sexes,55 to 64 years (4),"Persons with income of $15,000 and over (5)",58980
Newfoundland and Labrador,Both sexes,55 to 64 years (4),"Persons with income of $20,000 and over (5)",53020
Newfoundland and Labrador,Both sexes,55 to 64 years (4),"Persons with income of $25,000 and over (5)",47050
Newfoundland and Labrador,Both sexes,55 to 64 years (4),"Persons with income of $35,000 and over (5)",35650
Newfoundland and Labrador,Both sexes,55 to 64 years (4),"Persons with income of $50,000 and over (5)",21730
Newfoundland and Labrador,Both sexes,55 to 64 years (4),"Persons with income of $75,000 and over (5)",11000
Newfoundland and Labrador,Both sexes,55 to 64 years (4),"Persons with income of $100,000 and over (5)",6000
Newfoundland and Labrador,Both sexes,55 to 64 years (4),"Persons with income of $150,000 and over (5)",1940
Newfoundland and Labrador,Both sexes,55 to 64 years (4),"Persons with income of $200,000 and over (5)",900
Newfoundland and Labrador,Both sexes,55 to 64 years (4),"Persons with income of $250,000 and over (5)",530
Newfoundland and Labrador,Both sexes,65 years and over,Total persons with income (5),86060
Newfoundland and Labrador,Both sexes,65 years and over,"Persons with income under $5,000 (5)",410
Newfoundland and Labrador,Both sexes,65 years and over,"Persons with income of $5,000 and over (5)",85650
Newfoundland and Labrador,Both sexes,65 years and over,"Persons with income of $10,000 and over (5)",81160
Newfoundland and Labrador,Both sexes,65 years and over,"Persons with income of $15,000 and over (5)",67730
Newfoundland and Labrador,Both sexes,65 years and over,"Persons with income of $20,000 and over (5)",42790
Newfoundland and Labrador,Both sexes,65 years and over,"Persons with income of $25,000 and over (5)",30050
Newfoundland and Labrador,Both sexes,65 years and over,"Persons with income of $35,000 and over (5)",18170
Newfoundland and Labrador,Both sexes,65 years and over,"Persons with income of $50,000 and over (5)",8460
Newfoundland and Labrador,Both sexes,65 years and over,"Persons with income of $75,000 and over (5)",3060
Newfoundland and Labrador,Both sexes,65 years and over,"Persons with income of $100,000 and over (5)",1600
Newfoundland and Labrador,Both sexes,65 years and over,"Persons with income of $150,000 and over (5)",720
Newfoundland and Labrador,Both sexes,65 years and over,"Persons with income of $200,000 and over (5)",380
Newfoundland and Labrador,Both sexes,65 years and over,"Persons with income of $250,000 and over (5)",240
Newfoundland and Labrador,Males,"All age groups (4,10)",Total persons with income (5),202700
Newfoundland and Labrador,Males,"All age groups (4,10)","Persons with income under $5,000 (5)",9440
Newfoundland and Labrador,Males,"All age groups (4,10)","Persons with income of $5,000 and over (5)",193260
Newfoundland and Labrador,Males,"All age groups (4,10)","Persons with income of $10,000 and over (5)",183170
Newfoundland and Labrador,Males,"All age groups (4,10)","Persons with income of $15,000 and over (5)",169270
Newfoundland and Labrador,Males,"All age groups (4,10)","Persons with income of $20,000 and over (5)",149410
Newfoundland and Labrador,Males,"All age groups (4,10)","Persons with income of $25,000 and over (5)",134320
Newfoundland and Labrador,Males,"All age groups (4,10)","Persons with income of $35,000 and over (5)",106770
Newfoundland and Labrador,Males,"All age groups (4,10)","Persons with income of $50,000 and over (5)",72290
Newfoundland and Labrador,Males,"All age groups (4,10)","Persons with income of $75,000 and over (5)",39700
Newfoundland and Labrador,Males,"All age groups (4,10)","Persons with income of $100,000 and over (5)",21780
Newfoundland and Labrador,Males,"All age groups (4,10)","Persons with income of $150,000 and over (5)",6670
Newfoundland and Labrador,Males,"All age groups (4,10)","Persons with income of $200,000 and over (5)",2780
Newfoundland and Labrador,Males,"All age groups (4,10)","Persons with income of $250,000 and over (5)",1540
Newfoundland and Labrador,Males,"0 to 24 years (4,10)",Total persons with income (5),22340
Newfoundland and Labrador,Males,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",4840
Newfoundland and Labrador,Males,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",17500
Newfoundland and Labrador,Males,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",13770
Newfoundland and Labrador,Males,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",10720
Newfoundland and Labrador,Males,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",8310
Newfoundland and Labrador,Males,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",6370
Newfoundland and Labrador,Males,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",3890
Newfoundland and Labrador,Males,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",1920
Newfoundland and Labrador,Males,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",720
Newfoundland and Labrador,Males,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",230
Newfoundland and Labrador,Males,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",20
Newfoundland and Labrador,Males,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Newfoundland and Labrador,Males,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Newfoundland and Labrador,Males,25 to 34 years (4),Total persons with income (5),28100
Newfoundland and Labrador,Males,25 to 34 years (4),"Persons with income under $5,000 (5)",1320
Newfoundland and Labrador,Males,25 to 34 years (4),"Persons with income of $5,000 and over (5)",26780
Newfoundland and Labrador,Males,25 to 34 years (4),"Persons with income of $10,000 and over (5)",25450
Newfoundland and Labrador,Males,25 to 34 years (4),"Persons with income of $15,000 and over (5)",24030
Newfoundland and Labrador,Males,25 to 34 years (4),"Persons with income of $20,000 and over (5)",22440
Newfoundland and Labrador,Males,25 to 34 years (4),"Persons with income of $25,000 and over (5)",20620
Newfoundland and Labrador,Males,25 to 34 years (4),"Persons with income of $35,000 and over (5)",16650
Newfoundland and Labrador,Males,25 to 34 years (4),"Persons with income of $50,000 and over (5)",11430
Newfoundland and Labrador,Males,25 to 34 years (4),"Persons with income of $75,000 and over (5)",6040
Newfoundland and Labrador,Males,25 to 34 years (4),"Persons with income of $100,000 and over (5)",3020
Newfoundland and Labrador,Males,25 to 34 years (4),"Persons with income of $150,000 and over (5)",610
Newfoundland and Labrador,Males,25 to 34 years (4),"Persons with income of $200,000 and over (5)",160
Newfoundland and Labrador,Males,25 to 34 years (4),"Persons with income of $250,000 and over (5)",70
Newfoundland and Labrador,Males,35 to 44 years (4),Total persons with income (5),33310
Newfoundland and Labrador,Males,35 to 44 years (4),"Persons with income under $5,000 (5)",950
Newfoundland and Labrador,Males,35 to 44 years (4),"Persons with income of $5,000 and over (5)",32360
Newfoundland and Labrador,Males,35 to 44 years (4),"Persons with income of $10,000 and over (5)",31350
Newfoundland and Labrador,Males,35 to 44 years (4),"Persons with income of $15,000 and over (5)",30060
Newfoundland and Labrador,Males,35 to 44 years (4),"Persons with income of $20,000 and over (5)",28870
Newfoundland and Labrador,Males,35 to 44 years (4),"Persons with income of $25,000 and over (5)",27390
Newfoundland and Labrador,Males,35 to 44 years (4),"Persons with income of $35,000 and over (5)",23400
Newfoundland and Labrador,Males,35 to 44 years (4),"Persons with income of $50,000 and over (5)",17420
Newfoundland and Labrador,Males,35 to 44 years (4),"Persons with income of $75,000 and over (5)",10330
Newfoundland and Labrador,Males,35 to 44 years (4),"Persons with income of $100,000 and over (5)",5780
Newfoundland and Labrador,Males,35 to 44 years (4),"Persons with income of $150,000 and over (5)",1760
Newfoundland and Labrador,Males,35 to 44 years (4),"Persons with income of $200,000 and over (5)",710
Newfoundland and Labrador,Males,35 to 44 years (4),"Persons with income of $250,000 and over (5)",370
Newfoundland and Labrador,Males,45 to 54 years (4),Total persons with income (5),39930
Newfoundland and Labrador,Males,45 to 54 years (4),"Persons with income under $5,000 (5)",1050
Newfoundland and Labrador,Males,45 to 54 years (4),"Persons with income of $5,000 and over (5)",38870
Newfoundland and Labrador,Males,45 to 54 years (4),"Persons with income of $10,000 and over (5)",37310
Newfoundland and Labrador,Males,45 to 54 years (4),"Persons with income of $15,000 and over (5)",35330
Newfoundland and Labrador,Males,45 to 54 years (4),"Persons with income of $20,000 and over (5)",33860
Newfoundland and Labrador,Males,45 to 54 years (4),"Persons with income of $25,000 and over (5)",32070
Newfoundland and Labrador,Males,45 to 54 years (4),"Persons with income of $35,000 and over (5)",26950
